iteration,tag,name,duration_net_us
1,BF2E,GetEuiccChallenge,5624.0
1,BF20,GetEuiccInfo1,41131.0
1,ES9P,/gsma/rsp2/es9plus/initiateAuthentication,5513.0
1,BF38,AuthenticateServer,3100163.0
1,ES9P,/gsma/rsp2/es9plus/authenticateClient,31688.0
1,BF21,PrepareDownload,3754166.0
1,ES9P,/gsma/rsp2/es9plus/getBoundProfilePackage,10777.0
1,BF36,LoadBPP_seg0,1428313.0
1,BF36,LoadBPP_seg1,63900.0
1,BF36,LoadBPP_seg2,1583.0
1,BF36,LoadBPP_seg3,93460.0
1,BF36,LoadBPP_seg4,43262.0
1,BF36,LoadBPP_seg5,1733.0
1,BF36,LoadBPP_seg6,2044440.0
1,BF36,LoadBPP_seg7,802210.0
1,BF36,LoadBPP_seg8,807311.0
1,BF36,LoadBPP_seg9,1658416.0
1,BF36,LoadBPP_seg10,629018.0
1,BF36,LoadBPP_seg11,824796.0
1,BF36,LoadBPP_seg12,1791882.0
1,BF36,LoadBPP_seg13,865305.0
1,BF36,LoadBPP_seg14,910081.0
1,BF36,LoadBPP_seg15,1924226.0
1,BF36,LoadBPP_seg16,963516.0
1,BF36,LoadBPP_seg17,4312048.0
2,BF2E,GetEuiccChallenge,5626.0
2,BF20,GetEuiccInfo1,41180.0
2,ES9P,/gsma/rsp2/es9plus/initiateAuthentication,7356.0
2,BF38,AuthenticateServer,3096079.0
2,ES9P,/gsma/rsp2/es9plus/authenticateClient,38117.0
2,BF21,PrepareDownload,3751597.0
2,ES9P,/gsma/rsp2/es9plus/getBoundProfilePackage,18886.0
2,BF36,LoadBPP_seg0,1450513.0
2,BF36,LoadBPP_seg1,88451.0
2,BF36,LoadBPP_seg2,1578.0
2,BF36,LoadBPP_seg3,92996.0
2,BF36,LoadBPP_seg4,43911.0
2,BF36,LoadBPP_seg5,1616.0
2,BF36,LoadBPP_seg6,604059.0
2,BF36,LoadBPP_seg7,2043133.0
2,BF36,LoadBPP_seg8,830998.0
2,BF36,LoadBPP_seg9,857175.0
2,BF36,LoadBPP_seg10,1390654.0
2,BF36,LoadBPP_seg11,822143.0
2,BF36,LoadBPP_seg12,849090.0
2,BF36,LoadBPP_seg13,1768613.0
2,BF36,LoadBPP_seg14,909767.0
2,BF36,LoadBPP_seg15,979367.0
2,BF36,LoadBPP_seg16,1861256.0
2,BF36,LoadBPP_seg17,4109041.0
3,BF2E,GetEuiccChallenge,5730.0
3,BF20,GetEuiccInfo1,43450.0
3,ES9P,/gsma/rsp2/es9plus/initiateAuthentication,8387.0
3,BF38,AuthenticateServer,3127806.0
3,ES9P,/gsma/rsp2/es9plus/authenticateClient,29829.0
3,BF21,PrepareDownload,3751082.0
3,ES9P,/gsma/rsp2/es9plus/getBoundProfilePackage,20801.0
3,BF36,LoadBPP_seg0,1450685.0
